"game_id","Date","home_team_id","away_team_id","home_score","away_score"
"wvq9G09aMW",2021-05-08,"jYQJ8EW5GR","Vj58weDM8n",1,1
"eV5DNGlRQK",2021-05-08,"mKAqBBmqbg","YgOMngl5wN",1,1
"raMyY8OeMd",2021-05-08,"lgpMOvnQzy","APk5LGOMOW",2,0
"315Vo8vXq9",2021-05-08,"vzqoOgNqap","19vQ2095K6",2,0
"gjMN3Laj5K",2021-05-08,"mvzqoLZQap","EKXMeX3Q64",3,1
"7vQ7W2oeQD",2021-05-08,"a2lqRX2Mr0","kRQabn8MKZ",2,0
"Pk5LJVj7QO",2021-05-08,"X0Oq66zq6D","9z5k7Yg5A3",0,2
"2lqRGDw4Qr",2021-05-08,"a2lqR4JMr0","0KPqjA456v",1,2
"vzqo2V0p5a",2021-05-03,"lgpMOvnQzy","pzeQZ6xQKw",0,1
"gOMnXkxeqw",2021-05-03,"jYQJ19EqGR","kaDQ0wRqEv",3,0
"gpMOBNjyQz",2021-05-02,"vzqoOgNqap","zeQZkL1MKw",0,0
"KAqBPWyWMb",2021-05-02,"0KPqjA456v","EKXMeX3Q64",4,1
"eVq3J8BG5W",2021-05-02,"kRQand1MKZ","gpMOLwl5zy",0,1
"Oa5wXrggq1",2021-05-02,"mKAqBBmqbg","WBLMvYAQxe",4,1
"0x5gXGrmq7",2021-05-01,"9z5k7Yg5A3","Vj58weDM8n",0,2
"jYQJl9eG5G",2021-05-01,"jYQJ8EW5GR","NWMWlBK5lz",3,0
"Xj5YkXOlQb",2021-05-01,"19vQ2095K6","KAqBN0Vqbg",2,1
"0Oq6BXGPq6",2021-05-01,"YgOMngl5wN","eVq3ya6MWO",1,1
"7VqGDnlxQv",2021-05-01,"APk5LGOMOW","mvzqoLZQap",0,0
"ljqEy1xOqx",2021-05-01,"a2lqR4JMr0","Z2vQ1xlqrA",3,1
"NWMWRdGNQl",2021-05-01,"a2lqRX2Mr0","X0Oq66zq6D",2,0
"p6qbrN6Dq0",2021-04-25,"kaDQ0wRqEv","a2lqRX2Mr0",3,2
"aDQ0rJAW5E",2021-04-25,"WBLMvYAQxe","YgOMngl5wN",2,1
"xW5pXj195g",2021-04-25,"pzeQZ6xQKw","gpMOLwl5zy",1,3
"BLMvXWa3qx",2021-04-25,"9z5k7Yg5A3","zeQZkL1MKw",1,2
"KPqjAdP456",2021-04-25,"KAqBN0Vqbg","X0Oq66zq6D",3,1
"kRQa1LGLQK",2021-04-25,"kRQand1MKZ","a2lqR4JMr0",1,2
"zeQZVnEDQK",2021-04-25,"19vQ2095K6","EKXMeX3Q64",1,0
