"player_id","team_id","general_position","minutes_played","action_type","goals_added_raw","goals_added_above_avg","count_actions","Date"
"wvq9j2YQWn","0KPqjA456v","GK",98,"Shotstopping",-0.1506,-0.1267,2,2013-03-11
"wvq9j2YQWn","0KPqjA456v","GK",98,"Sweeping",0,-0.0011,0,2013-03-11
"2lqRRj84qr","kRQabn8MKZ","GK",98,"Claiming",0,0.0021,0,2013-03-16
"2lqRRj84qr","kRQabn8MKZ","GK",98,"Fielding",0.0022,0.0084,8,2013-03-16
"2lqRRj84qr","kRQabn8MKZ","GK",98,"Handling",0.0293,0.0322,5,2013-03-16
"2lqRRj84qr","kRQabn8MKZ","GK",98,"Passing",0.0722,0.0076,24,2013-03-16
"2lqRRj84qr","kRQabn8MKZ","GK",98,"Shotstopping",0.7259,0.768,7,2013-03-16
"2lqRRj84qr","kRQabn8MKZ","GK",98,"Sweeping",0.0402,0.0399,2,2013-03-16
"2vQ12LKMrA","19vQ2095K6","GK",99,"Claiming",0.0236,0.0265,3,2013-03-16
"2vQ12LKMrA","19vQ2095K6","GK",99,"Fielding",2e-04,0.0064,11,2013-03-16
"2vQ12LKMrA","19vQ2095K6","GK",99,"Handling",-0.1189,-0.1203,3,2013-03-16
"2vQ12LKMrA","19vQ2095K6","GK",99,"Passing",0.0686,0.004,30,2013-03-16
"2vQ12LKMrA","19vQ2095K6","GK",99,"Shotstopping",0.1512,0.1832,4,2013-03-16
"2vQ12LKMrA","19vQ2095K6","GK",99,"Sweeping",0.021,0.0206,4,2013-03-16
"4JMA2D75Kg","EKXMeX3Q64","GK",95,"Claiming",0.0427,0.0443,3,2013-03-16
"4JMA2D75Kg","EKXMeX3Q64","GK",95,"Fielding",-0.0058,3e-04,11,2013-03-16
"4JMA2D75Kg","EKXMeX3Q64","GK",95,"Handling",-0.2065,-0.2021,7,2013-03-16
"4JMA2D75Kg","EKXMeX3Q64","GK",95,"Passing",0.0452,-0.0193,38,2013-03-16
"4JMA2D75Kg","EKXMeX3Q64","GK",95,"Shotstopping",1.4941,1.5047,7,2013-03-16
"4JMA2D75Kg","EKXMeX3Q64","GK",95,"Sweeping",0.0065,0.0054,5,2013-03-16
"9z5kGga5A3","X0Oq66zq6D","GK",98,"Claiming",0.1153,0.1199,3,2013-03-16
"9z5kGga5A3","X0Oq66zq6D","GK",98,"Fielding",-1e-04,0.0061,3,2013-03-16
"9z5kGga5A3","X0Oq66zq6D","GK",98,"Handling",0.0263,0.0291,3,2013-03-16
"9z5kGga5A3","X0Oq66zq6D","GK",98,"Passing",0.0475,-0.0176,30,2013-03-16
"9z5kGga5A3","X0Oq66zq6D","GK",98,"Shotstopping",0.0711,0.0996,3,2013-03-16
"9z5kGga5A3","X0Oq66zq6D","GK",98,"Sweeping",0.0159,0.0152,1,2013-03-16
"aDQ0023QEv","pzeQZ6xQKw","GK",7,"Claiming",0,2e-04,0,2013-03-16
"aDQ0023QEv","pzeQZ6xQKw","GK",7,"Fielding",-0.0014,3e-04,1,2013-03-16
"aDQ0023QEv","pzeQZ6xQKw","GK",7,"Handling",-0.0191,-0.0012,1,2013-03-16
"aDQ0023QEv","pzeQZ6xQKw","GK",7,"Passing",0,-0.0047,0,2013-03-16
"aDQ0023QEv","pzeQZ6xQKw","GK",7,"Shotstopping",0.3521,0.0276,1,2013-03-16
"aDQ0023QEv","pzeQZ6xQKw","GK",7,"Sweeping",0,-1e-04,0,2013-03-16
